word,isCorrect,definition
กะเทย,true,"(๑) น. คนที่มีอวัยวะเพศทั้งชายและหญิง, คนที่มีจิตใจและกิริยาอาการตรงข้ามกับเพศของตน (อะหม ว่า เทย). (๒) น. ผลไม้ที่เมล็ดลีบ เช่น ลำไยกะเทย. (อะหม ว่า เทย)."
กระเทย,false,
ผูกพัน,true,"(๑) ก. มีความเป็นห่วงกังวลเพราะรักใคร่เป็นต้น (๒) ก. ก่อให้เกิดพันธะที่จะต้องปฏิบัติตาม (๓) (การคลัง) ก่อหนี้สินผูกมัดรัฐบาลให้ต้องจ่ายในงบประมาณแผ่นดินต่อ ๆ ไป เช่น หนี้ผูกพัน งบประมาณผูกพัน รายจ่ายผูกพัน. แม่คำของ """"ผูกพัน"""" คือ ผูก"
ผูกพันธ์,false,
โอกาส,true,"(๑) [-กาด] น. ช่อง, ทาง (ป.; ส. อวกาศ). (๒) น. เวลาที่เหมาะ, จังหวะ. (ป.; ส. อวกาศ)."
โอกาศ,false,
รสชาติ,true,"[รดชาด] น. รส เช่น แกงนี้ไม่มีรสชาติเลย. แม่คำของ """"รสชาติ"""" คือ รส"
รสชาด,false,
ซีรีส์,true,
ซีรีย์,false,
อินเทอร์เน็ต,true,
อินเตอร์เน็ต,false,
อัญชัน,true,"(๑) น. ชื่อไม้เถาชนิด Clitoria ternatea L. ในวงศ์ Leguminosae ดอกสีครามแก่ ขาว และม่วงอ่อน. (๒) ว. เรียกสีครามแก่อย่างสีดอกอัญชัน ว่า สีอัญชัน."
อัญชัญ,false,
มุกตลก,true,"[-ตะหฺลก] น. วิธีทำให้ขบขัน."
มุขตลก,false,
งอน,true,"(๑) น. ส่วนปลายแห่งของบางอย่างที่เป็นรูปยาวเรียวและช้อยขึ้น เช่น งอนไถ. (๒) ว. ช้อยขึ้น, โง้งขึ้น. (๓) ก. แสดงอาการโกรธเคืองหรือไม่พอใจเพื่อให้เขาง้อ, ทำจริตสะบัดสะบิ้ง. ลูกคำของ """"งอน ๑"""" คือ งอนง้อ งอนไถ"
งอล,false,
เท่,true,"(๑) ว. เอียงน้อย ๆ (มักใช้แก่การสวมหมวก) (๒) ว. โก้เก๋ เช่น แต่งตัวเท่."
เท่ห์,false,
กะพริบ,true,"[-พฺริบ] ก. ปิดและเปิดหนังตาโดยเร็ว, โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น ไฟกะพริบ."
กระพริบ,false,
เว็บไซต์,true,
เว็ปไซต์,false,
อัปเดต,true,
อัพเดท,false,
แอปพลิเคชัน,true,
แอพพลิเคชั่น,false,
สแกน,true,
แสกน,false,
สะแกน,false,
ขโมย,true,"(๑) [ขะ-] น. ผู้ลักทรัพย์. (๒) [ขะ-] ก. ลัก, โดยปริยายหมายความว่า ลอบทำสิ่งที่ตนไม่มีสิทธิ์หรือไม่ได้รับอนุญาต เช่น เด็กขโมยสูบบุหรี่ เขาขโมยอ่านจดหมายเพื่อน."
โขมย,false,
ขะโมย,false,
กะโหลก,true,"(๑) [-โหฺลก] น. กระดูกที่หุ้มมันสมอง, ส่วนแข็งที่หุ้มเนื้อมะพร้าวหรือตาลเป็นต้น เรียกว่า กะโหลกมะพร้าว กะโหลกตาล, ภาชนะที่ทำด้วยกะโหลกมะพร้าวโดยตัดทางตาออกพอเป็นช่องกว้างเพื่อใช้ตักนํ้า (๒) น. โดยปริยายหมายความถึงวัตถุที่มีลักษณะเช่นนั้น เช่น กะโหลกโครงหัวโขน (๓) น. เรียกพรรณไม้บางชนิด เช่น ลำไย ลิ้นจี่ ที่มีผลโต เนื้อหนากว่าปรกติ เช่น ลำไยกะโหลก ลิ้นจี่กะโหลก."
กระโหลก,false,
กาลเทศะ,true,"(๑) [กาละ-] น. เวลาและสถานที่ (ส.). (๒) น. ความควรไม่ควร. (ส.). แม่คำของ """"กาลเทศะ"""" คือ กาล ๑ กาล-"
กาละเทศะ,false,
กรีฑา,true,"(๑) [กฺรีทา] น. กีฬาอย่างหนึ่งแบ่งเป็น ๒ ประเภท คือ ประเภทลู่ เช่น การวิ่งระยะทางต่าง ๆ วิ่งผลัด วิ่งข้ามรั้ว ซึ่งในการแข่งขันต้องมีทางหรือแนวทางวิ่ง อีกประเภทหนึ่ง คือ ประเภทลาน เช่น กระโดดสูง พุ่งแหลน ทุ่มน้ำหนัก ซึ่งต้องมีสถานที่กว้างเพื่อการแข่งขัน (ส.). (๒) น. การเล่นสนุก เช่น กรีฑาร่าเริงรื่น (ส.). (๓) น. การประลองยุทธ์. (ส.). ลูกคำของ """"กรีฑา ๑"""" คือ กรีฑาสถาน"
กรีทา,false,
เกม,true,"น. การแข่งขันที่มีกติกากำหนด เช่น เกมกีฬา, การเล่นเพื่อความสนุก เช่น เกมคอมพิวเตอร์, การแสดงเพื่อสาธิตกิจกรรม เช่น เกมการบริหาร, โดยปริยายหมายถึงการแสดงที่ใช้กลวิธีหรือเล่ห์เหลี่ยมเพื่อหักล้างกัน เช่น เกมการเมือง, ลักษณนามเรียกการแข่งขันหรือการเล่นที่จบลงด้วยการแพ้ชนะกันครั้งหนึ่ง ๆ เช่น เล่นแบดมินตัน ๓ เกม. (อ. game). ลูกคำของ """"เกม ๑"""" คือ เกมโชว์"
เกมส์,false,
แกงกะหรี่,true,
แกงกระหรี่,false,
พะแนง,true,"น. แกงคั่วไก่หรือเนื้อเป็นต้น นํ้าแกงข้น."
แพนง,false,
พแนง,false,
มัสมั่น,true,"[มัดสะหฺมั่น] น. ชื่อแกงชนิดหนึ่ง นํ้าแกงข้น เป็นแกงอย่างมุสลิม ใช้เนื้อหรือไก่เป็นต้นชิ้นโต ๆ ปรุงด้วยเครื่องเทศ มีรสเค็ม หวาน และออกเปรี้ยวเล็กน้อย."
มัสหมั่น,false,
กงสุล,true,"(กฎ) น. ชื่อตำแหน่งของบุคคลซึ่งรัฐบาลของประเทศหนึ่งแต่งตั้งให้เป็นผู้แทนประจำอยู่ในเมืองต่าง ๆ ของอีกประเทศหนึ่ง เพื่อทำหน้าที่ช่วยเหลือคนชาติของตนและดูแลผลประโยชน์ทั่วไปของประเทศของตน."
กงศุล,false,
ขะมักเขม้น,true,"[ขะมักขะเม่น] ก. ตั้งใจทำอย่างรีบเร่งเพื่อให้แล้วเสร็จไป, ก้มหน้าก้มตาทำ, เขม้นขะมัก ก็ว่า."
ขมักเขม้น,false,
ขะมักขะเม้น,false,
ขะมักขเม้น,false,
ขมักขเม้น,false,
คลินิก,true,"(๑) น. สถานรักษาพยาบาล โดยมากเป็นของเอกชน มักไม่รับผู้ป่วยให้พักรักษาตัวประจำ (อ. clinic). (๒) น. แผนกของโรงพยาบาลที่รักษาโรคเฉพาะทาง. (อ. clinic)."
คลีนิก,false,
คฤหาสน์,true,"[คะรึหาด] น. เรือน, โดยมากหมายถึงเรือนขนาดใหญ่และสง่าผ่าเผย. (ส. คฤหาสน). แม่คำของ """"คฤหาสน์"""" คือ คฤห คฤห-"
คฤหาสถ์,false,
คำนวณ,true,"ก. กะประมาณ, คิดหาผลลัพธ์โดยวิธีเลข."
คำนวน,false,
ฆาตกร,true,"น. ผู้ที่ฆ่าคน. แม่คำของ """"ฆาตกร"""" คือ ฆาต ฆาต-"
ฆาตรกร,false,
จะงอย,true,"น. ปลายหรือที่สุดที่มีลักษณะโค้งหรืองุ้มลง เช่น จะงอยปากนกแก้ว จะงอยบ่า, ราชาศัพท์เรียก จะงอยบ่า ว่า พระอังสกุฏ."
จงอย,false,
จระเข้,true,"(๑) [จอระ-] น. ชื่อสัตว์เลื้อยคลานขนาดใหญ่ที่สุดในปัจจุบัน มีหลายชนิดหลายสกุล ในวงศ์ Crocodylidae ปากและหัวยาว ปลายปากนูนสูงขึ้นเป็นช่องเปิดของรูหายใจ เรียกว่า ก้อนขี้หมา ลำตัวกลมยาว หนังเป็นเกล็ดแข็งทั้งตัว หางแบนยาวทางข้างใช้โบกว่ายนํ้า มักหากินในนํ้า อาศัยบริเวณป่าริมน้ำ ในประเทศไทยมี ๓ ชนิด คือ จระเข้บึง จระเข้นํ้าจืด หรือจระเข้สยาม ( Crocodylus siamensisSchneider) จระเข้นํ้าเค็ม อ้ายเคี่ยม หรืออ้ายทองหลาง ( C. porosus Schneider) และจระเข้ปากกระทุงเหวหรือตะโขง [ Tomistoma schlegelii (S. Müller)], ตะเข้ หรือ อ้ายเข้ ก็เรียก, อีสานเรียก แข้, ปักษ์ใต้เรียก เข้ (๒) น. ชื่อดาวฤกษ์กลุ่มหนึ่ง (๓) น. เรียกธงผืนผ้ามีรูปจระเข้ตรงกลาง มักปักไว้ที่ท่านํ้าหน้าวัดแสดงว่าทอดกฐินแล้ว ว่า ธงจระเข้. ลูกคำของ """"จระเข้"""" คือ จระเข้ขวางคลอง ๑ จระเข้ขวางคลอง ๒ จระเข้คับคลอง จระเข้ปากกระทุงเหว จระเข้หางยาว"
จรเข้,false,
จงกรม,true,"[-กฺรม] ก. เดินไปมาโดยมีสติกำกับอย่างพระเดินเจริญกรรมฐาน เรียกว่า เดินจงกรม. (ส.; ป. จงฺกม). ลูกคำของ """"จงกรม"""" คือ จงกรมแก้ว"
จงกลม,false,
ซาบซึ้ง,true,"ว. อาการที่รู้สึกจับใจอย่างลึกซึ้ง, อาการที่รู้สึกปีติปลาบปลื้มมาก."
ทราบซึ้ง,false,
ฌาปนกิจ,true,"น. การเผาศพ. แม่คำของ """"ฌาปนกิจ"""" คือ ฌาปน-"
ฌาปณกิจ,false,
ตะกร้า,true,"[-กฺร้า] น. ภาชนะสานโปร่งสำหรับใส่สิ่งของ มีรูปต่าง ๆ มีหูหิ้วหรือไม่มีก็ได้."
ตระกร้า,false,
พายุไต้ฝุ่น,true,"น. พายุหมุนที่มีกำลังแรงจัด ทำให้มีฝนตกหนักมาก เกิดขึ้นในบริเวณภาคตะวันตกของมหาสมุทรแปซิฟิกและในทะเลจีน มีความเร็วลมใกล้บริเวณศูนย์กลางตั้งแต่ ๖๕ นอต หรือ ๑๒๐ กิโลเมตรต่อชั่วโมงขึ้นไป. (จ.). แม่คำของ """"พายุไต้ฝุ่น"""" คือ พายุ"
พายุใต้ฝุ่น,false,
ตำรับ,true,"(๑) [-หฺรับ] น. ตำราที่กำหนดไว้เป็นเฉพาะแต่ละเรื่องละราย เช่น ตำรับหอสมุดแห่งชาติ (ข. ฎํราบ่, ตมฺราบ่). (๒) น. ใบสั่งยา (ใช้เฉพาะแพทยศาสตร์). (ข. ฎํราบ่, ตมฺราบ่)."
ตำหรับ,false,
ทะนุถนอม,true,"ก. คอยระวังรักษา, คอยประคับประคอง. (ข. ถฺนาก่ถฺนม). แม่คำของ """"ทะนุถนอม, ทะนุกถนอม"""" คือ ทะนุ ทะนุก"
ทนุถนอม,false,
ทะเลสาบ,true,"น. ห้วงนํ้าใหญ่ที่มีแผ่นดินล้อมรอบ มี ๒ ชนิด คือ ทะเลสาบนํ้าจืด และทะเลสาบนํ้าเค็ม. (ข. สาบ ว่า จืด). แม่คำของ """"ทะเลสาบ"""" คือ ทะเล"
ทะเลสาป,false,
ทุพพลภาพ,true,"[ทุบพนละพาบ] ว. หย่อนกำลังความสามารถที่จะประกอบการงานตามปรกติได้. แม่คำของ """"ทุพพลภาพ"""" คือ ทุพพล"
ทุพลภาพ,false,
ธุรกิจ,true,"(๑) น. การงานประจำเกี่ยวกับอาชีพค้าขาย หรือกิจการอย่างอื่นที่สำคัญและที่ไม่ใช่ราชการ (๒) (กฎ) การประกอบกิจการเพื่อมุ่งการค้าหากำไร. แม่คำของ """"ธุรกิจ"""" คือ ธุร- ธุระ"
ธุระกิจ,false,
นัยน์ตา,true,"น. ดวงตา. แม่คำของ """"นัยน์ตา, นัยน์เนตร"""" คือ นัยน์"
นัยตา,false,
เนรมิต,true,"[-ระมิด] ก. นิรมิต, สร้างหรือบันดาลด้วยอำนาจ ฤทธิ์ หรืออภินิหารให้บังเกิดเป็นขึ้นมีขึ้นโดยฉับพลัน. (ส. นิรฺมิต; ป. นิมฺมิต)."
เนรมิตร,false,
เณรมิต,false,
น้ำแข็งไส,true,"น. น้ำแข็งที่ได้จากการไสก้อนน้ำแข็งไปบนเครื่องไส มีลักษณะเป็นเกล็ดฝอย. แม่คำของ """"น้ำแข็งไส"""" คือ น้ำ"
น้ำแข็งใส,false,
บิณฑบาต,true,"(๑) น. อาหาร (ใช้แก่พระภิกษุสามเณร) เช่น รับบิณฑบาต. (ป. ปิณฺฑปาต ว่า การตกแห่งก้อนข้าว). (๒) ก. กิริยาที่พระภิกษุสามเณรรับของที่เขานำมาใส่บาตร, โดยปริยายหมายถึง กิริยาที่พระภิกษุสามเณรขอหรือขอร้อง เช่น เรื่องนี้ขอบิณฑบาตให้เลิกแล้วต่อกัน. (ป. ปิณฺฑปาต ว่า การตกแห่งก้อนข้าว). แม่คำของ """"บิณฑบาต"""" คือ บิณฑ-"
บิณฑบาตร,false,
บิณทบาต,false,
บินทบาต,false,
บินทะบาต,false,
บินทะบาตร,false,
เบญจเพส,true,"ว. ยี่สิบห้า เช่น อายุถึงเบญจเพส. (ป. ปญฺจวีส). แม่คำของ """"เบญจเพส"""" คือ เบญจ- เบญจะ"
เบญจเพศ,false,
ประณีต,true,"ว. ละเอียดลออ, เรียบร้อยงดงาม, เช่น ฝีมือประณีต ทำอย่างประณีต, ที่ปรุงอย่างสุดฝีมือด้วยของดี ๆ เช่น ปรุงอาหารอันประณีต. (ส. ปฺรณีต; ป. ปณีต)."
ปราณีต,false,
ประนีต,false,
ปลากะพง,true,
ปลากระพง,false,
เผ่าพันธุ์,true,"น. เชื้อสาย. แม่คำของ """"เผ่าพันธุ์"""" คือ เผ่า"
เผ่าพัน,false,
เผ่าพันธ์,false,
กุมภาพันธ์,true,"น. ชื่อเดือนที่ ๒ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนมกราคม มี ๒๘ หรือ ๒๙ วัน, (เลิก) ชื่อเดือนที่ ๑๑ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนเมษายน. (ป. กุมฺภ ว่า หม้อ + อาพนฺธ ว่า ผูก = เดือนที่อาทิตย์มาสู่ราศีกุมภ์). แม่คำของ """"กุมภาพันธ์"""" คือ กุมภ์ กุมภ-"
กุมภาพันธุ์,false,
ผู้เยาว์,true,"(กฎ) น. บุคคลผู้ยังไม่บรรลุนิติภาวะ. แม่คำของ """"ผู้เยาว์"""" คือ ผู้"
ผู้เยา,false,
พยัคฆ์,true,"[พะยักคะ-] น. เสือโคร่ง. (ป. พฺยคฺฆ, วฺยคฺฆ; ส. วฺยาฆฺร). ลูกคำของ """"พยัคฆ-, พยัคฆ์"""" คือ พยัคฆา พยัคฆิน พยัคฆินทร์ พยัคฆี พยัคเฆนทร์"
พยัค,false,
พิสดาร,true,"(๑) [พิดสะดาน] ว. กว้างขวาง, ละเอียดลออ (ใช้แก่เนื้อความ) เช่น ประวัติศาสตร์ฉบับพิสดาร มีความพิสดารดังนี้ (ส. วิสฺตาร; ป. วิตฺถาร). (๒) (ปาก) ว. แปลกพิลึก เช่น เล่นพิสดาร. (ส. วิสฺตาร; ป. วิตฺถาร)."
พิศดาร,false,
ภาพยนตร์,true,"[พาบพะ-] น. ภาพฉายด้วยเครื่องทำให้เห็นเป็นภาพเคลื่อนไหวได้, หนังฉาย. แม่คำของ """"ภาพยนตร์"""" คือ ภาพ ภาพ-"
ภาพยนต์,false,
รำคาญ,true,"(๑) ก. ระคายเคือง เช่น รำคาญหู รำคาญตา รำคาญเนื้อ รำคาญตัว (๒) ก. เบื่อ เช่น ทำสวนครัวแก้รำคาญ (๓) ก. ทำให้เดือดร้อน, เบื่อหน่าย, เช่น เสียงทะเลาะกันทำให้รำคาญ. ลูกคำของ """"รำคาญ"""" คือ รำคาญใจ"
รำคาน,false,
รำคาณ,false,
ลูกนิมิต,true,"น. ลูกที่ทำกลม ๆ ประมาณเท่าบาตร มักทำด้วยหิน ใช้ฝังเป็นเครื่องหมายเขตอุโบสถ. แม่คำของ """"ลูกนิมิต"""" คือ ลูก"
ลูกนิมิตร,false,
ลำไย,true,"(๑) น. ชื่อไม้ต้นชนิด Dimocarpus longan Lour. ในวงศ์ Sapindaceae ผลกลม รสหวาน, พันธุ์ที่เป็นไม้เถาเรียก ลำไยเครือ [D. longan Lour. var. obtusus (Pierre) Leenh.]. (๒) (ถิ่น-ปักษ์ใต้) น. ชื่อไม้ต้นขนาดใหญ่ชนิด Mangifera caesia Jack ในวงศ์ Anacardiaceae ดอกสีม่วงอ่อนผลสุกกินได้, บินยา หรือ ลำยา ก็เรียก."
ลำใย,false,
มหรสพ,true,"[มะหอระสบ] น. การเล่นรื่นเริงมีโขนละครเป็นต้น. (ป. มหุสฺสว; ส. มโหตฺสว)."
มหรศพ,false,
มัคคุเทศก์,true,"(๑) น. ผู้นำทาง, ผู้ชี้ทาง, ผู้บอกทาง (ป. มคฺค + อุทฺเทสก). (๒) น. ผู้นำเที่ยว. (ป. มคฺค + อุทฺเทสก)."
มัคคุเทศน์,false,
มัคคุเทศ,false,
วิ่งเปี้ยว,true,"น. การเล่นวิ่งแข่งโดยแบ่งผู้เล่นออกเป็น ๒ ฝ่าย แต่ละฝ่ายส่งคนวิ่งอ้อมหลักของฝ่ายตรงข้ามทีละคน โดยวิธีรับช่วงไม้หรือผ้าต่อ ๆ กันไป ฝ่ายที่วิ่งเร็วกว่า ใช้ไม้หรือผ้าที่ถืออยู่ตีฝ่ายตรงข้ามได้ เป็นฝ่ายชนะ. แม่คำของ """"วิ่งเปี้ยว"""" คือ วิ่ง"
วิ่งเปรี้ยว,false,
วิญญาณ,true,"(๑) น. สิ่งที่เชื่อกันว่ามีอยู่ในกายเมื่อมีชีวิต เมื่อตายจะออกจากกายล่องลอยไปหาที่เกิดใหม่ (ป.; ส. วิชฺาน). (๒) น. ความรับรู้ เช่น จักษุวิญญาณ คือ ความรับรู้ทางตา โสตวิญญาณ คือ ความรับรู้ทางหู เป็นขันธ์ ๑ ในขันธ์ ๕ คือ รูป เวทนา สัญญา สังขาร วิญญาณ (ป.; ส. วิชฺาน). (๓) น. โดยปริยายหมายถึงจิตใจ เช่น มีวิญญาณนักสู้ มีวิญญาณศิลปิน. (ป.; ส. วิชฺาน)."
วิญญาน,false,
สุคติ,true,"[สุคะติ, สุกคะติ] น. ภูมิที่ถือว่าไปเกิดแล้วมีความสุขความสบาย, สวรรค์, เช่น ขอให้วิญญาณไปสู่สุคติ. (ป., ส.)."
สุขคติ,false,
สุขติ,false,
สมดุล,true,"[สะมะดุน, สมดุน] ว. เสมอกัน, เท่ากัน. (อ. equilibrium). แม่คำของ """"สมดุล"""" คือ สม- ๓"
สมดุลย์,false,
หมูหย็อง,true,"น. ของกินทำด้วยหมูเนื้อแดงปรุงรส ต้มเคี่ยวให้เปื่อยจนงวด นำไปผัดจนแห้ง ขยี้ให้เป็นฝอย. แม่คำของ """"หมูหย็อง"""" คือ หมู ๑"
หมูหยอง,false,
ไอศกรีม,true,"น. ของกินทำด้วยนํ้าหวาน กะทิ หรือนม เป็นต้น ทำให้ข้นด้วยความเย็น. (อ. ice-cream)."
ไอศครีม,false,
อุโมงค์,true,"น. ทางใต้ดิน, ช่องหรือทางที่ขุดลงไปใต้ดินหรือในภูเขา. (ป. อุมฺมงฺค)."
อุโมง,false,
อุโมงก์,false,
ฮ่อยจ๊อ,true,"น. ชื่ออาหารแบบจีนชนิดหนึ่ง ใช้เนื้อปู มันหมูแข็งต้มสุก ผสมกับแป้งมันและเครื่องปรุงรส บดหรือโขลกจนเหนียวแล้วห่อด้วยฟองเต้าหู้เป็นท่อน กลม ๆ ยาว ๆ มัดเป็นเปลาะ ๆ นึ่งแล้วทอดให้สุก กินกับน้ำจิ้ม. (จ.)."
หอยจ๊อ,false,